title,actor,writer,genre,country,director,rating,score,year,release,runtime
Crazy Love,Josse De Pauw,Charles Bukowski,Drama,Belgium,Dominique Deruddere,Not specified,7,1987,9-6-1905,90
Near Dark,Adrian Pasdar,Kathryn Bigelow,Action,USA,Kathryn Bigelow,R,7,1987,10-6-1905,94
Flight of the Navigator,Joey Cramer,Mark H. Baker,Adventure,USA,Randal Kleiser,PG,6.9,1986,1-8-1986,90
Howard the Duck,Lea Thompson,Steve Gerber,Action,USA,Willard Huyck,PG,4.6,1986,1-8-1986,110
Jason Lives: Friday the 13th Part VI,Thom Mathews,Tom McLoughlin,Horror,USA,Tom McLoughlin,R,5.9,1986,1-8-1986,86
Ménage,Gérard Depardieu,Bertrand Blier,Comedy,France,Bertrand Blier,Not specified,7,1986,1-10-1986,84
Dream Lover,Kristy McNichol,Jon Boorstin,Crime,USA,Alan J. Pakula,R,5.1,1986,2-4-1986,104
"No Retreat, No Surrender",Kurt McKinney,See-Yuen Ng,Action,USA,Corey Yuen,PG,5.6,1986,2-5-1986,85
"Jo Jo Dancer, Your Life Is Calling",Richard Pryor,Rocco Urbisci,Biography,USA,Richard Pryor,R,6.3,1986,2-5-1986,97
Blue City,Judd Nelson,Ross Macdonald,Action,USA,Michelle Manning,R,4.4,1986,2-5-1986,83
On the Edge,Bruce Dern,Roy Kissin,Drama,USA,Rob Nilsson,PG-13,7.1,1986,2-5-1986,95
Big Trouble in Little China,Kurt Russell,Gary Goldman,Action,USA,John Carpenter,PG-13,7.3,1986,2-7-1986,99
The Great Mouse Detective,Vincent Price,Peter Young,Animation,USA,Ron Clements,G,7.2,1986,2-7-1986,74
Psicosis III,Anthony Perkins,Charles Edward Pogue,Horror,USA,Anthony Perkins,R,5.3,1986,2-7-1986,93
About Last Night...,Rob Lowe,David Mamet,Comedy,USA,Edward Zwick,R,6.2,1986,2-7-1986,113
Under the Cherry Moon,Prince,Becky Johnston,Comedy,USA,Prince,PG-13,4.9,1986,2-7-1986,98
Tough Guys,Burt Lancaster,James Orr,Comedy,USA,Jeff Kanew,PG,6.2,1986,3-10-1986,104
'Round Midnight,Dexter Gordon,David Rayfiel,Drama,USA,Bertrand Tavernier,R,7.4,1986,3-10-1986,133
Playing for Keeps,Daniel Jordano,Bob Weinstein,Comedy,USA,Bob Weinstein,PG-13,4.1,1986,3-10-1986,102
Armed Response,David Carradine,T.L. Lankford,Action,USA,Fred Olen Ray,R,4.9,1986,3-10-1986,86
Behind Enemy Lines,David Carradine,Malcolm Barbour,Action,USA,Gideon Amir,R,4.9,1986,4-4-1986,90
Oviri,Donald Sutherland,Henning Carlsen,Biography,Denmark,Henning Carlsen,R,6.2,1986,5-9-1986,100
Malcolm,Colin Friels,David Parker,Comedy,Australia,Nadia Tass,PG-13,7.2,1986,5-11-1986,90
Heartbreak Ridge,Clint Eastwood,James Carabatsos,Action,USA,Clint Eastwood,R,6.8,1986,5-12-1986,130
The Assault,Derek de Lint,Gerard Soeteman,Drama,Netherlands,Fons Rademakers,PG,7.3,1986,6-2-1986,155
SpaceCamp,Kate Capshaw,Clifford Green,Adventure,USA,Harry Winer,PG,5.6,1986,6-6-1986,107
Raw Deal,Arnold Schwarzenegger,Luciano Vincenzoni,Action,USA,John Irvin,R,5.5,1986,6-6-1986,106
