id,title,actor,writer,genre,country,director,rating,score,year,release,runtime
8,Crazy Love,Josse De Pauw,Charles Bukowski,Drama,Belgium,Dominique Deruddere,Not specified,7,1987,6-9-1905,90
9,Near Dark,Adrian Pasdar,Kathryn Bigelow,Action,USA,Kathryn Bigelow,R,7,1987,6-10-1905,94
10,A Place in the World,José Sacristán,Adolfo Aristarain,Drama,Argentina,Adolfo Aristarain,PG,7.9,1992,6-16-1905,120
11,The Fantasticks,Joel Grey,Tom Jones,Musical,USA,Michael Ritchie,PG,5.8,1995,6-17-1905,86
12,Another Day in Paradise,James Woods,Eddie Little,Crime,USA,Larry Clark,R,6.5,1998,6-21-1905,101
13,Romance & Cigarettes,James Gandolfini,John Turturro,Comedy,USA,John Turturro,R,6.3,2005,6-28-1905,105
14,Passion Play,Mickey Rourke,Mitch Glazer,Drama,USA,Mitch Glazer,R,5,2010,7-3-1905,94
15,Black Moon Rising,Tommy Lee Jones,John Carpenter,Action,USA,Harley Cokeliss,R,5.4,1986,1-10-1986,100
16,Iron Eagle,Louis Gossett Jr.,Kevin Alyn Elders,Action,USA,Sidney J. Furie,PG-13,5.3,1986,1-17-1986,117
17,Troll,Michael Moriarty,Ed Naha,Comedy,USA,John Carl Buechler,PG-13,4.3,1986,1-17-1986,82
18,The Clan of the Cave Bear,Daryl Hannah,Jean M. Auel,Adventure,USA,Michael Chapman,R,5.3,1986,1-17-1986,98
19,The Boy in Blue,Nicolas Cage,Douglas Bowie,Biography,Canada,Charles Jarrott,R,5.4,1986,1-17-1986,100
20,The Longshot,Tim Conway,Tim Conway,Comedy,USA,Paul Bartel,PG-13,5.4,1986,1-17-1986,89
21,Heathcliff: The Movie,Mel Blanc,George Gately,Family,Canada,Bruno Bianchi,G,5.3,1986,1-17-1986,73
22,My Chauffeur,Deborah Foreman,David Beaird,Comedy,USA,David Beaird,R,5.6,1986,1-24-1986,97
23,Youngblood,Rob Lowe,Peter Markle,Drama,USA,Peter Markle,R,6.1,1986,1-31-1986,110
24,The Best of Times,Robin Williams,Ron Shelton,Comedy,USA,Roger Spottiswoode,PG-13,5.9,1986,1-31-1986,104
25,Down and Out in Beverly Hills,Nick Nolte,René Fauchois,Comedy,USA,Paul Mazursky,R,6.1,1986,1-31-1986,103
26,Power,Richard Gere,David Himmelstein,Drama,USA,Sidney Lumet,R,5.7,1986,1-31-1986,111
27,Eliminators,Andrew Prine,Paul De Meo,Action,USA,Peter Manoogian,PG,4.5,1986,1-31-1986,96
28,The Assault,Derek de Lint,Gerard Soeteman,Drama,Netherlands,Fons Rademakers,PG,7.3,1986,2-6-1986,155
29,F/X,Bryan Brown,Robert T. Megginson,Action,USA,Robert Mandel,R,6.7,1986,2-7-1986,109
30,Lady Jane,Helena Bonham Carter,Chris Bryant,Biography,UK,Trevor Nunn,PG-13,7.2,1986,2-7-1986,136
31,Wildcats,Goldie Hawn,Ezra Sacks,Comedy,USA,Michael Ritchie,R,5.9,1986,2-14-1986,106
32,The Delta Force,Chuck Norris,James Bruner,Action,USA,Menahem Golan,R,5.6,1986,2-14-1986,125
33,Quicksilver,Kevin Bacon,Thomas Michael Donnelly,Crime,USA,Thomas Michael Donnelly,PG,5.6,1986,2-14-1986,105
34,TerrorVision,Diane Franklin,Ted Nicolaou,Comedy,USA,Ted Nicolaou,R,5.7,1986,2-14-1986,83
35,Knights of the City,Leon Isaac Kennedy,Leon Isaac Kennedy,Action,USA,Dominic Orlando,R,4.8,1986,2-14-1986,87
36,Parting Glances,John Bolger,Bill Sherwood,Drama,USA,Bill Sherwood,Not specified,7.8,1986,2-19-1986,90
37,9½ Weeks,Mickey Rourke,Elizabeth McNeill,Drama,USA,Adrian Lyne,R,5.9,1986,2-21-1986,117
38,The Hitcher,Rutger Hauer,Eric Red,Thriller,USA,Robert Harmon,R,7.3,1986,2-21-1986,97
39,Pretty in Pink,Molly Ringwald,John Hughes,Comedy,USA,Howard Deutch,PG-13,6.8,1986,2-28-1986,96
40,Highlander,Christopher Lambert,Gregory Widen,Action,UK,Russell Mulcahy,R,7.2,1986,3-7-1986,116
41,Matador,Assumpta Serna,Pedro Almodóvar,Drama,Spain,Pedro Almodóvar,NC-17,7,1986,3-7-1986,110
